mark_name,model_name,mass_kg,fuel_consumption_lp100km,production_price,frontal_area_m2,co2_emissions_gl,engine_efficiency
MERCEDES-BENZ AG,A 180 D,1540.0,5.0,14210.0,2.8,2620.0,0.4
MERCEDES-BENZ AG,GLA 200 4MATIC,1570.0,7.4,20391.0,2.8,2283.7837837837837,0.25
BMW,220D XDRIVE GRAN TOURER,1745.0,5.5,21916.0,2.7,2636.3636363636365,0.4
KG MOBILITY GREAT WALL MOTOR,SSANGYONG XLV,1405.0,7.2,10950.0,2.3,2263.8888888888887,0.25
MERCEDES-BENZ AG,AMG A 45 S 4MATIC+,1680.0,9.1,18990.0,2.8,2274.7252747252746,0.25
VOLKSWAGEN,CONTINENTAL GT SPEED,2348.0,13.7,195173.0,2.6,2270.07299270073,0.25
MERCEDES-BENZ AG,GLC 200 D 4MATIC,1845.0,5.9,27114.0,2.3,2610.1694915254234,0.4
BMW,X6 M50I,2315.0,11.3,45914.0,2.4,2292.0353982300885,0.25
VOLKSWAGEN,911 GT3 RS,1525.0,13.4,108136.0,2.3,2276.1194029850744,0.25
BMW,X2 XDRIVE 18D,1680.0,5.5,32215.0,2.8,2636.3636363636365,0.4
VOLKSWAGEN,911 TURBO,1715.0,12.0,108136.0,3.0,2275.0,0.25
MERCEDES-BENZ AG,GLA 200 D 4MATIC,1685.0,5.7,20391.0,2.0,2596.4912280701756,0.4
MERCEDES-BENZ AG,S 350 D 4MATIC,2080.0,7.2,46209.0,2.7,2611.111111111111,0.4
MERCEDES-BENZ AG,GLB 220 D,1710.0,5.6,35303.0,2.4,2625.0,0.4
VOLKSWAGEN,911 DAKAR,1680.0,11.3,108136.0,2.6,2265.4867256637167,0.25
BMW,GHOST,2565.0,15.5,194900.0,2.6,2277.4193548387098,0.25
MERCEDES-BENZ AG,CLA 200 D 4MATIC,1630.0,5.3,21893.0,2.7,2603.7735849056603,0.4
HYUNDAI MOTOR EUROPE,GV80 GENESIS GV80,2280.0,9.1,27750.0,2.5,2626.3736263736264,0.4
SUBARU-SUZUKI-TOYOTA,TOYOTA SUPRA,1577.0,8.8,51264.0,2.5,2250.0,0.25
BMW,COUNTRYMAN COOPER SD ALL4,1675.0,5.6,13311.0,2.7,2607.1428571428573,0.4
VOLKSWAGEN,RS Q3 SPORTBACK,1775.0,10.0,51195.0,2.5,2270.0,0.25
VOLKSWAGEN,CAYENNE TURBO GT,2295.0,14.1,71309.0,2.7,2262.4113475177305,0.25
MERCEDES-BENZ AG,A 160,1350.0,5.9,8461.0,3.0,2288.1355932203387,0.25
VOLKSWAGEN,CONTINENTAL GTC SPEED,2511.0,14.1,195173.0,2.5,2269.503546099291,0.25
VOLKSWAGEN,911 CARRERA 4,1700.0,10.5,108136.0,2.7,2266.6666666666665,0.25
KG MOBILITY GREAT WALL MOTOR,SSANGYONG REXTON,2145.0,8.3,30717.0,2.5,2626.5060240963853,0.4
VOLKSWAGEN,MACAN T,1940.0,10.1,62265.0,2.8,2267.3267326732675,0.25
MERCEDES-BENZ AG,GLB 200 4MATIC,1625.0,7.7,26833.0,2.7,2285.714285714286,0.25
MERCEDES-BENZ AG,B 180 D,1580.0,5.2,13916.0,2.8,2615.3846153846152,0.4
VOLKSWAGEN,ALHAMBRA,1811.0,8.7,19083.0,2.2,2264.3678160919544,0.25
VOLKSWAGEN,TTS ROADSTER,1585.0,8.6,32365.0,2.8,2267.4418604651164,0.25
VOLKSWAGEN,911 CARRERA 4S,1640.0,10.6,108136.0,3.2,2264.1509433962265,0.25
RENAULT-NISSAN-MITSUBISHI,NISSAN MICRA,1116.0,5.3,8115.0,2.5,2283.0188679245284,0.25
VOLKSWAGEN,718 BOXSTER,1410.0,9.4,64802.0,2.8,2276.595744680851,0.25
MERCEDES-BENZ AG,CLA 200 4MATIC,1515.0,6.6,21893.0,2.3,2272.727272727273,0.25
BMW,X2 XDRIVE 25D,1695.0,5.7,32215.0,2.6,2631.578947368421,0.4
MERCEDES-BENZ AG,AMG GLA 35,1680.0,9.0,18990.0,2.7,2266.6666666666665,0.25
MERCEDES-BENZ AG,AMG CLA 45 S 4MATIC+,1745.0,9.2,18990.0,2.4,2260.8695652173915,0.25
BMW,X2 XDRIVE 20I,1640.0,7.0,32215.0,2.3,2285.714285714286,0.25
BMW,216D,1505.0,4.6,13973.0,2.7,2630.434782608696,0.4
MERCEDES-BENZ AG,S 350 D,2040.0,6.8,46209.0,2.8,2632.3529411764707,0.4
BMW,216I ACTIVE TOURER,1545.0,6.3,13973.0,3.0,2238.095238095238,0.25
VOLKSWAGEN,CONTINENTAL GT MULLINER W,2348.0,13.7,195173.0,2.7,2270.07299270073,0.25
BMW,220D,1580.0,5.0,21916.0,3.2,2600.0,0.4
VOLKSWAGEN,A3 SPORTBACK G-TRON,1430.0,6.0,16869.0,2.2,1800.0,0.4
